role,atom_id,x_A,y_A,z_A,is_gb,first_neighbor_count,distance_to_nearest_gb_A,bulk_distance_rank,wagih_delta_e_kj_mol
gb_sample,301979,196.9579926,55.3282013,199.8699952,1,,0.0,,16.7250328
gb_sample,39095,146.177002,7.0130301,177.1309967,1,,0.0,,32.8225479
gb_sample,50662,42.8658982,58.2027016,42.0660019,1,,0.0,,-5.6334219
gb_sample,309442,23.8208008,76.6513977,34.6643982,1,,0.0,,36.2375603
gb_sample,147905,132.9470062,2.81882,50.6562996,1,,0.0,,14.6409731
gb_sample,368218,146.401001,132.7010041,72.7335968,1,,0.0,,13.239377
gb_sample,232870,165.5039978,200.4510041,136.7050019,1,,0.0,,17.2893791
gb_sample,106226,64.6988983,30.9489002,109.9120026,1,,0.0,,27.7768517
gb_sample,213495,133.3930054,76.1570969,108.2839966,1,,0.0,,24.4799137
gb_sample,98798,134.4490052,16.1650009,15.4006004,1,,0.0,,20.4501591
gb_sample,407123,10.1702004,159.6309967,21.6159992,1,,0.0,,-2.0707758
gb_sample,75531,10.6873999,131.3869934,197.4019928,1,,0.0,,3.3521702
gb_sample,329732,173.8350067,8.04249,148.4369965,1,,0.0,,12.062336
gb_sample,45623,44.1669998,43.2494011,27.1693993,1,,0.0,,11.0752974
gb_sample,49105,26.4242993,65.1735001,192.0809937,1,,0.0,,2.6002801
gb_sample,27708,171.4140015,9.6005698,177.927002,1,,0.0,,9.5172014
gb_sample,14254,179.0809937,6.75593,47.1833,1,,0.0,,2.4858179
gb_sample,364718,153.3820038,151.2380066,70.1636963,1,,0.0,,5.0386372
gb_sample,185787,97.3412018,76.9340974,164.4219971,1,,0.0,,-1.844296
gb_sample,76890,5.50699,120.1200028,26.2236996,1,,0.0,,10.4513197
gb_sample,15850,3.43659,159.6929932,137.7109986,1,,0.0,,14.6070328
gb_sample,303215,-0.78887,53.4171982,-0.687222,1,,0.0,,13.3782911
gb_sample,346472,134.7200012,199.6699982,50.0363998,1,,0.0,,23.6545697
gb_sample,25300,188.2230072,111.3899994,160.3710022,1,,0.0,,29.7202721
gb_sample,278990,28.6030998,157.3309937,123.1539993,1,,0.0,,26.3916359
gb_sample,416037,12.5226002,120.3430023,144.8569946,1,,0.0,,0.2648887
gb_sample,48310,46.0209999,87.461998,159.0970001,1,,0.0,,38.293457
gb_sample,190156,132.6790009,191.7120056,176.5310059,1,,0.0,,18.2627831
gb_sample,310507,177.1620026,83.6647034,176.8110047,1,,0.0,,16.0637379
gb_sample,166953,127.7600022,202.003006,130.2519989,1,,0.0,,22.4730492
gb_sample,297410,24.0809994,39.4595986,52.5565987,1,,0.0,,24.4444237
gb_sample,408931,14.8590002,200.647995,89.0195007,1,,0.0,,9.447752
gb_sample,233373,139.4490052,42.7159996,182.3869934,1,,0.0,,33.3932495
gb_sample,470697,109.2529984,112.8450012,42.7405014,1,,0.0,,42.9319916
gb_sample,16881,194.7769928,201.5319977,170.3359985,1,,0.0,,14.0669317
gb_sample,301905,165.0240021,77.4512024,64.6837006,1,,0.0,,-4.0365109
gb_sample,71559,64.2098999,146.7960053,183.0399933,1,,0.0,,25.3578854
gb_sample,168339,128.4490052,199.4669953,77.6913986,1,,0.0,,2.3259382
gb_sample,347123,139.1889954,195.4889984,45.9737016,1,,0.0,,9.0663261
gb_sample,35386,157.8650056,146.7480011,200.0899963,1,,0.0,,4.5669999
gb_sample,199028,116.0339966,194.9589996,144.7980042,1,,0.0,,29.901785
gb_sample,13754,9.52946,154.6660004,135.8269959,1,,0.0,,3.9406866
gb_sample,404658,33.8732986,130.2400055,68.2294006,1,,0.0,,17.9156342
gb_sample,131097,13.4506998,78.3786011,86.3423004,1,,0.0,,-15.1778536
gb_sample,78851,124.7170029,74.0914993,66.7601013,1,,0.0,,32.3768883
gb_sample,209435,83.1958008,192.5050049,192.8139954,1,,0.0,,-7.0026202
gb_sample,12576,0.481422,196.5809937,165.2169953,1,,0.0,,9.0202789
gb_sample,67727,87.3891983,126.7669983,15.7566004,1,,0.0,,28.7236405
gb_sample,406966,10.2439003,167.8430024,25.1403999,1,,0.0,,-4.6502977
gb_sample,414298,152.0839996,132.6940003,130.5630036,1,,0.0,,53.5621453
gb_sample,63477,17.2975998,87.5224991,22.5065995,1,,0.0,,-2.1088474
gb_sample,131659,33.862301,108.3740006,102.012001,1,,0.0,,20.9833794
gb_sample,316279,10.2053003,88.7149964,148.3040009,1,,0.0,,17.1747513
gb_sample,315460,1.51076,116.0360031,36.0225983,1,,0.0,,4.6966868
gb_sample,212802,131.5319977,96.2853012,124.4660034,1,,0.0,,34.829094
gb_sample,445026,8.9625902,115.9940034,46.459301,1,,0.0,,-14.6056633
gb_sample,78554,93.7482987,95.1647034,31.066,1,,0.0,,31.7710839
gb_sample,27641,158.5579987,3.5316301,46.483799,1,,0.0,,-4.5707455
gb_sample,290463,84.9469986,168.6909943,145.3809967,1,,0.0,,0.6183824
gb_sample,411463,195.878006,107.0319977,157.9909974,1,,0.0,,3.3203654
gb_sample,449734,190.8070069,167.4559937,45.7417984,1,,0.0,,18.4233608
gb_sample,286066,47.7081986,160.1179962,156.2709961,1,,0.0,,-2.759162
gb_sample,217034,178.4440003,69.8815994,145.6580048,1,,0.0,,29.0134525
gb_sample,33512,165.7140045,140.5529938,195.7209931,1,,0.0,,-7.7943163
gb_sample,317356,187.2680054,68.9441986,158.375,1,,0.0,,13.5863047
gb_sample,375017,102.098999,159.5529938,19.0683994,1,,0.0,,16.7245369
gb_sample,217319,121.8399964,50.3745003,102.699997,1,,0.0,,28.8771192
gb_sample,52998,28.5386009,100.1240006,156.7720032,1,,0.0,,-14.834096
gb_sample,412066,163.602005,134.1779938,151.625,1,,0.0,,6.0531502
gb_sample,210919,59.948002,18.1469002,189.3359985,1,,0.0,,-0.9047382
gb_sample,2389,34.1445007,167.2449951,154.7649994,1,,0.0,,29.9958612
gb_sample,399546,32.950901,141.1329956,11.3154001,1,,0.0,,-1.5795293
gb_sample,299208,172.6049958,62.8538018,60.1822014,1,,0.0,,42.3393059
gb_sample,410187,10.3827,178.3220062,89.1172028,1,,0.0,,25.346777
gb_sample,203127,104.0690002,199.9380036,147.9089966,1,,0.0,,25.7679806
gb_sample,91354,105.1900024,33.6151009,13.3811998,1,,0.0,,16.1352139
gb_sample,157000,149.6139984,197.0970001,63.7089005,1,,0.0,,29.9466972
gb_sample,149764,9.0423098,73.5253983,110.9459992,1,,0.0,,-8.7700825
gb_sample,360169,73.9304962,114.8690034,61.5845986,1,,0.0,,20.7233372
