atom_id,delta_e_kj_mol
259,14.9866448
260,30.938614
261,-12.9098024
262,23.1910915
263,31.0180836
264,-14.2127981
272,6.3791747
273,7.6666851
274,15.4284954
277,54.447876
279,5.8283491
280,-6.2648454
281,9.6930571
282,0.3815585
283,14.4779015
284,-25.3021088
285,-3.3699556
286,21.0360832
287,14.7809057
288,-12.1166458
289,15.3897848
290,-0.7692867
291,50.7858925
292,51.9855844
293,12.5307799
295,17.7562084
296,3.4639247
297,36.7429314
298,2.902987
299,25.6780396
300,29.2702713
301,7.6433077
302,28.990614
303,-14.6144047
304,-8.2502051
305,32.9847946
306,1.5078804
307,31.537674
308,24.5837651
309,68.4054184
310,-10.9346056
311,13.3163653
312,13.3521414
313,7.1618495
314,1.4346841
315,14.8532848
316,-2.4247759
317,3.1922236
318,28.8228092
320,27.7999535
321,-26.6531716
322,9.1818638
323,12.4928322
324,6.6994691
325,25.8194504
326,25.0595665
327,50.2593613
328,-6.8109498
329,19.6850109
330,14.9030028
331,6.2382965
332,30.5788708
333,-1.7359431
334,28.3225956
335,15.5845633
336,4.769423
337,-18.7383251
338,13.597457
339,25.9274464
340,7.3323918
341,27.6958351
342,23.7808457
343,-9.0755024
344,31.7261086
345,21.6574803
346,-12.7320242
347,-1.986958
348,17.8830566
349,32.0160599
350,-2.0772183
351,29.1713066
352,15.9074354
353,-0.7817109
354,9.2248621
355,-22.8600694
356,23.996048
357,26.5283547
358,9.5393687
359,19.4396916
360,1.1894068
361,13.8291016
362,-5.6456933
363,-10.4261618
364,25.758236
365,17.928915
366,0.9167356
367,56.9588014
368,-9.4709082
369,-15.1851616
370,10.5733023
371,48.2949066
372,9.4134083
373,34.9027214
374,22.5384522
375,31.4372826
376,51.6271096
377,1.3116167
378,11.9591084
379,-3.466012
380,18.1633911
381,5.9367924
382,5.7706008
383,40.3236771
384,31.7403965
385,18.3297958
386,12.6628495
387,40.6248513
388,11.6330405
389,18.4957981
390,36.0278854
392,20.5357437
393,39.6543579
394,35.2394257
395,2.2758277
396,14.9443952
397,15.4333668
398,13.3300266
399,68.8456192
400,1.4922526
401,0.6442788
402,3.2887199
403,19.5239849
404,-1.2119014
405,6.6416269
406,-15.142724
408,33.6844025
409,4.2026057
410,-8.3230219
411,-17.1727715
412,42.6414414
413,12.3721876
414,3.1200504
415,41.7390824
416,-11.315402
417,-4.5963235
418,5.7395764
419,19.3773632
420,2.995406
421,27.9255944
424,25.1382561
427,12.7049246
428,7.511447
429,-7.127707
430,36.810566
431,-8.7309828
432,37.4760247
433,25.9218694
434,24.4799309
435,9.278532
436,17.8759632
438,24.8159676
439,-4.5042382
440,22.8080158
441,11.4581805
442,4.8961254
443,23.3457508
444,2.4054935
445,-15.9465742
446,12.8980294
447,13.8212862
448,4.5010391
449,15.3224573
450,16.4413376
451,37.7334099
453,22.4640026
454,10.9304324
455,18.3444862
456,5.1376405
457,20.7658692
458,19.2415333
459,6.954721
460,10.5832005
461,23.6620312
462,25.822918
463,11.3690748
