role,atom_id,x_A,y_A,z_A,is_gb,first_neighbor_count
gb_sample,9427,19.346412118537962,70.55016847615093,28.956153475458876,1,13
gb_sample,27574,53.1805909888628,48.30827740344354,53.51980447387217,1,11
gb_sample,46294,86.37544868306549,64.93465508394931,27.961951443266827,1,13
gb_sample,31461,57.12492800967871,32.51654717730863,0.5116581667576676,1,13
gb_sample,4153,7.854608487859861,76.09397255870901,19.124041395052767,1,10
gb_sample,25291,47.4415541997621,15.58212156687546,14.304860289146053,1,11
gb_sample,28191,51.861858994401125,37.96660629195489,56.42122947258773,1,11
gb_sample,5586,10.838438710931753,13.452173971155563,49.64003038605826,1,11
gb_sample,11431,19.973474807159985,66.00439317794718,32.38270456168559,1,10
gb_sample,39536,71.00899361930973,11.664428747227944,96.11152847934297,1,11
gb_sample,14209,29.04368335231699,2.5510201147637694,18.43230759286774,1,11
gb_sample,25765,46.08227689722695,52.509164704058975,71.95269521477012,1,11
gb_sample,15225,30.462969138747273,11.624022540224338,13.190590865484607,1,13
gb_sample,39636,74.00387567162724,62.78639712697764,29.81985752803038,1,11
gb_sample,21212,42.48481039498033,86.94543171291598,10.052594191823085,1,11
gb_sample,24155,42.530273859284065,26.198127310656446,60.68553234174366,1,11
gb_sample,18550,33.21666760611342,80.49675501975287,78.0841417757581,1,10
gb_sample,13579,27.350954953578064,7.584363687327461,13.475938048537206,1,13
gb_sample,25060,48.38021469617484,36.50372589594243,45.35960329868812,1,11
gb_sample,28845,52.64158398506181,71.22510977858049,42.26742942436541,1,11
gb_sample,40410,76.62475240737739,59.09841256423553,47.48102699108665,1,11
gb_sample,17491,32.849230781388215,43.34537371578873,42.614071665778155,1,10
gb_sample,24242,44.768724730950225,50.23507435145472,9.723676894532655,1,11
gb_sample,32845,60.65458098184024,13.040103408637131,79.73315611651368,1,11
gb_sample,40732,77.70766374914426,11.2944738110648,72.68040996318,1,9
gb_sample,2854,3.2848756122112404,82.37411079381032,83.28340154791145,1,11
gb_sample,39734,74.12356696342705,53.51252685995649,55.055990607228686,1,13
