role,atom_id,x_A,y_A,z_A,is_gb,first_neighbor_count
gb_sample,50986,65.3370722369,63.0183198553,23.6099251378,1,10
gb_sample,5093,6.6103147474,35.5787060733,6.5396023759,1,9
gb_sample,7718,9.9664586526,12.180737378,53.8146678597,1,13
gb_sample,52444,67.1884423812,45.8836875844,73.7560334015,1,10
gb_sample,25489,32.6451213125,13.391220486,25.777736493,1,11
gb_sample,63872,81.6854232177,52.2164110971,49.6818470801,1,9
gb_sample,39648,50.8186512539,64.0706390115,97.5841643597,1,11
gb_sample,19388,24.8274272642,72.3875336552,16.4748219188,1,13
gb_sample,37653,48.2503373867,37.320224084,38.4749584473,1,13
gb_sample,17371,22.2441545681,27.0100924367,10.8215678194,1,9
gb_sample,68294,87.4150133759,53.2634442004,10.5226987466,1,8
gb_sample,11710,15.0309924598,81.1314002931,70.0691873383,1,11
gb_sample,55630,71.2179693463,40.278114623,69.5510852197,1,10
gb_sample,6733,8.7122757118,13.9846279053,55.4341427081,1,9
gb_sample,7430,9.6098808734,91.6299923377,58.4900695081,1,11
gb_sample,3750,4.8751435549,15.4932153475,23.2211292446,1,11
gb_sample,2770,3.6045492467,57.9966952147,24.5586462658,1,10
gb_sample,63477,81.1852902098,78.8542757468,1.5652742426,1,9
gb_sample,32802,41.9978492926,28.6665159696,81.4373971259,1,8
gb_sample,11951,15.3403798369,66.6935916468,12.8888176249,1,10
gb_sample,2834,3.6876154992,80.9302888005,38.2512958896,1,13
gb_sample,51250,65.6823734633,28.5681373915,35.1570046331,1,10
gb_sample,59705,76.3551366075,50.6174936841,82.5476822886,1,10
gb_sample,3511,4.5504207675,26.5658854736,55.0581137476,1,9
gb_sample,45005,57.6573221435,89.7041623708,64.9655673191,1,10
gb_sample,70224,89.9147832013,77.1813339805,2.0372125162,1,8
gb_sample,7319,9.4689016585,10.9805187475,26.2087018015,1,10
gb_sample,33756,43.2601074541,72.4386369667,58.2115353745,1,9
gb_sample,52294,67.00195776,45.3790915488,87.867642658,1,9
gb_sample,27780,35.6012149524,73.056382869,5.8704928576,1,8
gb_sample,49787,63.7784584508,74.4856132888,64.1267919875,1,11
gb_sample,68334,87.4638131874,64.5120605532,85.2996147265,1,13
gb_sample,39837,51.0498602609,84.3728938071,48.0157823509,1,10
gb_sample,77455,99.214327891,76.6324950245,40.9452621352,1,10
gb_sample,2937,3.8242869641,86.0079511961,36.2278795848,1,9
gb_sample,50664,64.9168260554,19.7635032434,12.564805871,1,9
gb_sample,10738,13.8105641553,21.7455554991,45.838200459,1,8
gb_sample,28306,36.2804973151,31.2929433026,45.9361520943,1,8
gb_sample,60047,76.7778771387,33.6476616879,92.037323495,1,11
gb_sample,4544,5.9095794187,61.2198406322,58.4514164001,1,11
gb_sample,34570,44.3048581233,23.1529645252,65.0716954554,1,8
gb_sample,2703,3.5121592657,31.8959899933,8.2645617625,1,9
gb_sample,67734,86.6970380988,24.7399728597,5.1564517639,1,8
gb_sample,22790,29.1645786779,69.8607840314,13.7407377114,1,13
gb_sample,13094,16.7930036385,6.5709833989,16.3699796692,1,11
gb_sample,36098,46.2549254267,41.1828366962,51.0256394017,1,11
gb_sample,2644,3.4391930006,58.4462726661,12.4886352791,1,9
gb_sample,9991,12.8676382974,18.9693212924,35.0565489174,1,9
gb_sample,68272,87.3811554551,36.5740111693,79.650245847,1,10
gb_sample,69791,89.356827681,0.5308275496,54.9525822878,1,10
gb_sample,9228,11.8938516765,29.5451361912,34.8205592799,1,9
gb_sample,22982,29.4121851747,65.5890740611,92.1992805091,1,8
gb_sample,54353,69.6104412611,69.1293926953,53.1480379007,1,13
gb_sample,53614,68.6796794664,17.0369807418,48.9877067318,1,10
gb_sample,37334,47.872720873,57.636459372,21.7500095838,1,10
gb_sample,72087,92.3224523428,25.318130373,79.9835581914,1,8
gb_sample,12996,16.6570032914,31.7413462444,1.2396784289,1,10
gb_sample,3723,4.8443858828,88.8755770203,96.4139047124,1,6
gb_sample,47618,60.9906589709,83.4986640934,53.9795318371,1,10
gb_sample,69703,89.2349122746,79.8389261311,28.5528083774,1,10
gb_sample,73548,94.2123584727,58.9447514178,46.8768179742,1,11
gb_sample,45942,58.8529443946,88.3787692221,50.845676812,1,10
gb_sample,38011,48.7391839756,98.9151820605,68.4361530615,1,10
gb_sample,4325,5.6114032696,3.63385674,46.7564588607,1,11
gb_sample,54501,69.7966524525,52.1515802231,77.7729714864,1,11
gb_sample,65341,83.5751473049,40.0386388999,16.3562819356,1,10
gb_sample,38167,48.939860258,50.9081466743,58.8718030045,1,11
gb_sample,8045,10.3932858587,12.6316143798,9.5537855734,1,10
gb_sample,69788,89.353849657,56.7559098033,72.2175145624,1,9
gb_sample,36635,46.9598226979,24.2613894765,45.5448931449,1,10
gb_sample,1130,1.4938613558,28.0997950829,17.5467512554,1,10
gb_sample,67116,85.8905540056,51.4457026098,57.8467932517,1,8
gb_sample,50518,64.7309269492,21.3378495479,91.5456116611,1,11
gb_sample,68836,88.1076307624,19.4731057777,41.611695564,1,10
gb_sample,35036,44.9102053711,64.8334704085,55.5486271658,1,10
gb_sample,15884,20.3586112609,43.2142580191,26.17517374,1,8
gb_sample,26428,33.8616577318,36.1486291944,68.3280328744,1,9
gb_sample,25599,32.7790229381,84.6767238435,63.3308722407,1,11
gb_sample,62920,80.4605446486,70.7859435569,32.6749776151,1,13
gb_sample,29882,38.2761766286,20.6765478079,10.4833008872,1,9
gb_sample,12580,16.1345518426,73.9822659274,44.7526393949,1,13
gb_sample,68430,87.5917276887,65.8401988694,93.7583505789,1,13
gb_sample,29938,38.3416130019,48.9600072031,93.7666802001,1,11
gb_sample,21866,27.9827021841,73.0546976835,2.151151806,1,10
gb_sample,70356,90.0886492225,71.6556338019,12.0853462452,1,9
gb_sample,42334,54.237492524,88.8683440031,99.3119817177,1,9
gb_sample,60345,77.1645681522,68.1996145992,68.9436322404,1,13
gb_sample,77028,98.6722710912,7.2163247042,35.4205146832,1,11
gb_sample,16896,21.6351654384,19.2377199919,89.0009976699,1,9
gb_sample,59911,76.6245949911,84.2343229317,98.5107679967,1,11
gb_sample,62336,79.7095110026,58.9232458347,51.8663072034,1,11
gb_sample,25312,32.4107884874,18.216756726,71.1316003689,1,10
gb_sample,24808,31.7564207227,37.7830797459,56.3622008502,1,8
gb_sample,13308,17.0605665515,6.112771494,34.767360509,1,11
