budget,method,mae_mean,mae_std,tail_mae_mean,tail_mae_std,xgb_abs_error_mean,xgb_abs_error_std,rmse_mean,r2_mean,n_runs
100,random,3.889041702524254,0.2721408615642586,5.739517321317342,0.3980700214693683,0.010515533901558032,0.007446261371641235,5.5002354530040005,0.8793405060162136,20
100,tail_aware_active_raw_pca,4.080390504329211,0.26275313785063015,5.607486787206208,0.3721675431231006,0.009426954330983558,0.00810328100337303,5.691654452135856,0.8709110412430332,10
100,xgb_aware_active_raw_pca,3.6732564517261657,0.0838092264063798,5.922813014616168,0.49038007052101745,0.015265672284886784,0.004196100637293599,5.431890497239081,0.882536875847712,10
150,active_bootstrap_raw_pca,3.9551890000206185,0.25862886021951964,6.574461150481463,0.44145102901782435,0.018404356998027983,0.01110688285725037,5.62327273376925,0.8740292238543704,10
150,kmeans_raw_pca,3.7198717579868474,0.0,5.764679290719153,0.0,0.004624457903631585,0.0,5.370205063793658,0.8852462477102236,1
150,random,3.7604945362085593,0.1333307529600629,5.531210015118335,0.23777025359557646,0.008418618641562844,0.006119886358641323,5.359080953174766,0.8856720361356578,20
150,tail_aware_active_raw_pca,4.052712358081816,0.26203458144775343,5.418169538317445,0.1979476889560098,0.00738051153303981,0.004587713170770067,5.6723472985178,0.8717563400714707,10
150,xgb_aware_active_raw_pca,3.657249027782105,0.12338697300024584,5.903443461558279,0.2748785847509498,0.015591505071391707,0.0064392352531799455,5.327074418330617,0.8870648691136506,10
200,active_bootstrap_raw_pca,3.8199254636619147,0.11188880960579918,6.37412957299296,0.43780681251043707,0.01965333185604395,0.008694825731067278,5.486039971733108,0.8802240527429455,10
200,kmeans_raw_pca,3.6270856711365047,0.0,5.6604399567082675,0.0,0.00801879194310584,0.0,5.222267582866883,0.8914815961322586,1
200,random,3.6951285061453896,0.08923195854755904,5.419653539163381,0.2106944984489956,0.006593907129927671,0.003672716283592451,5.27788301545881,0.8891435267693357,20
200,tail_aware_active_raw_pca,3.976840366756568,0.0675376660920013,5.423875562760626,0.1442543112753017,0.006321782233311845,0.004773590590174943,5.604189060764541,0.8750215804313466,10
200,xgb_aware_active_raw_pca,3.6074986700404836,0.0684583260167848,5.800880389545489,0.24090492668639335,0.017883171481712333,0.007915919649505254,5.343998432946587,0.8863163460113272,10
