method,budget,mae_mean,mae_std,tail_mae_mean,tail_mae_std,xgb_abs_error_mean,xgb_abs_error_std,rmse_mean,rmse_std,r2_mean,r2_std,runtime_seconds_mean,runtime_seconds_std,n_runs
xgb_aware_active_raw_pca,200,3.611946940657371,0.1330922002736831,5.773615528747303,0.1587921439791134,0.014026688883030065,0.005639852935378588,5.319255098976299,0.14666881159552114,0.8873363392944442,0.006389289836572613,0.2878699750057422,0.008591739361023093,10
active_bootstrap_raw_pca,500,3.77342817580507,0.11732198214696889,6.145008675793543,0.24796179499059245,0.017265274368155344,0.00701202612432011,5.4218596070161595,0.1419969858927139,0.8829638754022648,0.006201568425765118,0.08215930018923245,0.002004564239453185,5
kmeans_raw_pca,500,3.6814333854064376,,5.1128887178780955,,0.0050924583244711386,,5.235320844166006,,0.8909384261850041,,26.479250542004593,,1
random,500,3.6060387978960775,0.05601910128885496,5.446320549156532,0.1764649762292094,0.008028121130385557,0.0037120421486128556,5.215393899317391,0.04038375627297898,0.8917612372048433,0.001680335740148529,0.013246745802462101,0.0010319128379546812,10
tail_aware_active_raw_pca,500,3.9112147201954897,0.05303260827536779,5.4078717198757005,0.10237481666249165,0.005731972864386414,0.004574884522387857,5.515947174089602,0.011902829867518575,0.8789326684489644,0.0005223404182661022,0.08327609979314729,0.00248137864515601,5
xgb_aware_active_raw_pca,500,3.633844460106372,0.12714840344202444,5.563543977669827,0.08361687656661758,0.011800342832365852,0.004721030164943849,5.270862009946947,0.07749269727879507,0.8894335053210953,0.003243519768846333,0.14391695039812474,0.002433823177973286,5
active_bootstrap_raw_pca,1000,3.6459232638789603,0.04164584147227286,6.0898824570873975,0.21937200956029393,0.018282337169421105,0.0040743936934847964,5.3171641177661275,0.032670119642934904,0.8874984767881771,0.0013837002459447334,0.1821555334085133,0.00825524925253417,5
kmeans_raw_pca,1000,3.680288748202127,,5.304043809461921,,0.007786916656231713,,5.234362524285566,,0.8909783497395407,,45.32869691698579,,1
random,1000,3.58193547379963,0.022079874223785854,5.414062940389586,0.061558138351951,0.007368477632205173,0.0013772525454669392,5.175306436755081,0.008012925400391155,0.8934242904235354,0.0003301738086818584,0.013433521104161628,0.0006713230317894752,10
tail_aware_active_raw_pca,1000,3.8835651683069274,0.016947667398707334,5.335657501330376,0.07130870439635514,0.004815534605722427,0.0016001066123970467,5.4985745008942715,0.01032504079894572,0.8796941881107612,0.0004519012481410668,0.18267684979946353,0.006997411895386841,5
xgb_aware_active_raw_pca,1000,3.53032020335516,0.03078799878821223,5.618807683155723,0.03204767976054745,0.01812290264947928,0.0019225596134008793,5.2434554064838705,0.059949794234164314,0.8905878057910706,0.002514750425110934,0.3257145831885282,0.01400863398471536,5
