atom_id,delta_e_kj_mol,pe_eV,bulk_reference_pe_eV,x_A,y_A,z_A,first_neighbor_count
12848,1.5640821348936615,-274146.650773585,-274146.666984154,14.699566965723324,85.8157835650493,78.79364964806781,13
2844,-2.948082977966742,-274146.697538881,-274146.666984154,4.1696927694300285,61.21692142760752,29.520063295011266,13
53571,-0.42026984260232636,-274146.671339944,-274146.666984154,67.20326794317535,72.23000044424084,72.61400404655316,13
11806,2.6427366280830125,-274146.639594119,-274146.666984154,12.99201712974104,58.90347719893746,27.405839688916107,11
58182,-2.728021645369029,-274146.695258106,-274146.666984154,73.21003118816165,61.309707618504866,66.3688200074318,13
16490,4.92236092834662,-274146.615967478,-274146.666984154,22.64246560920542,28.762233162664124,22.583038243301782,11
41040,5.694178361920023,-274146.607968154,-274146.666984154,51.960179337936076,95.95360015986468,12.025622512302402,11
51703,0.8454649787927413,-274146.658221527,-274146.666984154,65.10610814368272,85.4484354591079,56.796831061690256,11
54713,-3.296026454906585,-274146.701145061,-274146.666984154,68.91608658496155,11.77823669880113,20.79582135261841,13
57987,3.724913699522575,-274146.628378144,-274146.666984154,72.45540106559538,43.10718670257903,30.97357395207024,11
74679,0.2407662203894266,-274146.664488788,-274146.666984154,93.63698203861854,81.95710722185966,64.27285357100756,13
68006,-0.8119611187634985,-274146.675399538,-274146.666984154,85.80277272280365,20.813679419142552,88.85805439588137,13
67514,0.060063952554809404,-274146.666361635,-274146.666984154,84.8615648833342,17.325980505215668,72.84586424338583,13
19489,3.8624066480011576,-274146.62695313,-274146.666984154,23.325392105156812,32.52558432726484,33.781890607698536,10
31618,-1.6451912711517191,-274146.68403536,-274146.666984154,38.39739080946761,49.87783318896942,82.73508952910016,13
57715,-0.1518320191835762,-274146.668557782,-274146.666984154,70.89642670902494,43.860063144744444,72.76106848138738,13
76940,-2.7363704252304495,-274146.695344635,-274146.666984154,96.07630163743539,76.6536784136046,72.95023492975719,14
23064,-2.188455407616784,-274146.689665896,-274146.666984154,28.844455082746816,85.7237556552627,45.58839385312323,13
17464,-2.929701848701773,-274146.697348374,-274146.666984154,21.945029982123007,93.51103706670644,74.37256862711136,13
78041,0.21001557174320137,-274146.664807496,-274146.666984154,0.08877014461445087,8.930100184847436,29.551745074099983,13
53307,0.42370453316572143,-274146.662592766,-274146.666984154,65.89872794077593,48.03634226239586,64.7360813259514,11
23909,0.782997770605501,-274146.658868954,-274146.666984154,29.833542516491526,33.29396940113474,31.901738791244284,11
70311,3.387246685105022,-274146.631877816,-274146.666984154,86.44581943250472,85.95866001643645,50.024111444207904,13
8221,0.25789217150948224,-274146.66431129,-274146.666984154,10.161380946040856,71.85158676274955,22.394332659395094,11
55450,-2.779005366063503,-274146.695786515,-274146.666984154,69.28980564829757,46.94715150693948,82.87862549728541,13
24932,3.9295450960094187,-274146.626257289,-274146.666984154,31.448723773159152,45.08098972234117,63.18893287877459,11
50854,7.794149874083975,-274146.586203483,-274146.666984154,65.72886544881493,30.866853348223962,44.9359632794756,10
